room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18312006,1352,126605730,Private room,,Lisbon,,Alvalade,0,0.0,1,1.0,,23.0,,"Chill Out Community Arts House, Medium Bedroom :)",2017-06-19 02:26:00.761786,38.755486,-9.142031,0101000020E61000004E098849B84822C0FD4AE7C3B3604340
18821510,1352,106149355,Private room,,Lisbon,,Alvalade,0,0.0,1,1.0,,40.0,,73 - Pleasant Single Bedroom - 10 SECONDS to metro,2017-06-19 02:26:00.759523,38.747157,-9.146819,0101000020E6100000E4DC26DC2B4B22C01EFD2FD7A25F4340
599406,1352,507901,Private room,,Lisbon,,Alvalade,16,4.5,2,1.0,,29.0,,Sunny double room+WiFi+Kitchen+Free Parking,2017-06-19 02:26:00.756752,38.747697,-9.131269,0101000020E61000000EF5BBB0354322C09E280989B45F4340
11948753,1352,62637010,Private room,,Lisbon,,Avenidas Novas,1,0.0,1,1.0,,29.0,,CR61.2 Residence - Single room #5,2017-06-19 02:26:00.753638,38.742345,-9.155745,0101000020E6100000F20703CFBD4F22C0B0AC3429055F4340
13647826,1352,7564916,Private room,,Lisbon,,Areeiro,3,4.5,2,1.0,,28.0,,BIG ROOM MAGNIFICIENT VIEW - TOP RESIDENTIAL AREA,2017-06-19 02:26:00.751234,38.737409,-9.136298,0101000020E61000003A05F9D9C84522C05663096B635E4340
13072479,1352,9330931,Private room,,Lisbon,,Arroios,4,4.0,1,1.0,,30.0,,Quarto Amarelo Individual ao Lado Metro Alameda!!!,2017-06-19 02:26:00.744005,38.736556,-9.133569,0101000020E6100000D384ED27634422C017D68D77475E4340
11732278,1352,2918220,Private room,,Lisbon,,Lumiar,34,5.0,2,1.0,,32.0,,COZY DOUBLE BED,2017-06-19 02:25:59.400621,38.761364,-9.156202,0101000020E6100000BC2363B5F94F22C0062D246074614340
710144,1352,2958491,Private room,,Lisbon,,Arroios,16,4.5,1,1.0,,25.0,,1-Center of Lisbon (Wi-Fi & METRO),2017-06-19 02:25:59.394881,38.733848,-9.132553,0101000020E61000002FF99FFCDD4322C0151E34BBEE5D4340
17566812,1352,80745409,Private room,,Lisbon,,Areeiro,4,5.0,2,1.0,,40.0,,Home Out 14 - Room at City Center,2017-06-19 02:25:59.392774,38.737605,-9.135689,0101000020E610000098DA5207794522C0DC2E34D7695E4340
15840324,1352,42295247,Private room,,Lisbon,,Parque das Nações,6,4.0,4,1.0,,29.0,,Doublebed with lounge Parque das nações Moscavide3,2017-06-19 02:25:59.390390,38.774628,-9.09905,0101000020E61000006D567DAEB63222C06F48A30227634340
9379839,1352,48663616,Private room,,Lisbon,,Penha de França,37,5.0,2,1.0,,23.0,,City Centre Double Room river view!,2017-06-19 02:25:59.387668,38.734612,-9.125845,0101000020E6100000F1BA7EC16E4022C0E49F19C4075E4340
1109655,1352,1664323,Private room,,Lisbon,,Arroios,21,4.5,2,1.0,,27.0,,COOL&CUTE! students  so hype...!,2017-06-19 02:25:59.385463,38.733159,-9.143871,0101000020E610000086AFAF75A94922C050E27327D85D4340
11917525,1352,56319327,Private room,,Lisbon,,Avenidas Novas,13,4.5,2,1.0,,40.0,,Tua Lisboa *Américo Tomás Room*,2017-06-19 02:25:59.383146,38.739207,-9.147061,0101000020E6100000BC0853944B4B22C0B5FCC0559E5E4340
18183516,1352,75343325,Private room,,Lisbon,,Areeiro,1,0.0,2,1.0,,18.0,,Bright and cozy room - near Av. Roma,2017-06-19 02:25:59.377631,38.74353,-9.140259,0101000020E610000078F01307D04722C025CCB4FD2B5F4340
17096617,1352,107813252,Private room,,Lisbon,,Areeiro,10,4.5,2,1.0,,26.0,,Cozy room near Downtown Lisbon,2017-06-19 02:25:59.375119,38.7406,-9.131884,0101000020E610000038BBB54C864322C074B515FBCB5E4340
16096311,1352,104921223,Private room,,Lisbon,,Alvalade,1,0.0,1,1.0,,35.0,,"Bedroom with king size bed , Campo Pequeno",2017-06-19 02:25:59.372497,38.745394,-9.146677,0101000020E61000009A266C3F194B22C03B511212695F4340
11584607,1352,61058696,Private room,,Lisbon,,Avenidas Novas,35,5.0,2,1.0,,40.0,,"Gulbenkian Park Residence, Room 6",2017-06-19 02:25:59.370237,38.736453,-9.150167,0101000020E61000007AE063B0E24C22C042058717445E4340
14288560,1352,7564916,Private room,,Lisbon,,Arroios,4,4.0,2,1.0,,23.0,,NICE BRIGHT ROOM - ALAMEDA - BIG BED - 2 METRO LI,2017-06-19 02:25:59.368002,38.73579,-9.135689,0101000020E610000098DA5207794522C0A75CE15D2E5E4340
17783311,1352,121443992,Private room,,Lisbon,,Santa Clara,4,5.0,1,1.0,,13.0,,Single bed near Lisbon Airport,2017-06-19 02:25:59.365994,38.787649,-9.154637,0101000020E6100000CB80B3942C4F22C012DDB3AED1644340
2452514,1352,12539741,Private room,,Lisbon,,Marvila,56,4.0,2,1.0,,23.0,,Very close to airport gare oriente ,2017-06-19 02:25:59.362111,38.759183,-9.122763,0101000020E61000005551BCCADA3E22C0EF5696E82C614340
681129,1352,3468059,Private room,,Lisbon,,Penha de França,55,4.5,3,1.0,,18.0,,2 rooms for rent.1 week maximum.,2017-06-19 02:25:58.177008,38.735229,-9.129078,0101000020E61000002444F982164222C00F09DFFB1B5E4340
19353805,1352,77567468,Private room,,Lisbon,,Santa Clara,0,0.0,2,1.0,,40.0,,Room - Alta de Lisboa,2017-06-19 02:25:58.173450,38.778372,-9.149089,0101000020E6100000FE62B664554C22C0A10F96B1A1634340
